"","text","score","klasifikasi"
"1","southgate saying abraham  missed  purely   lost form   wrong time  pretty laughable really c",-3,"Negatif"
"2","gareth southgate  harry maguire amp fikayo tomori  dont think  young ones centrebacks  done quite en",0,"Netral"
"3","reece james   told  manager gareth southgate   will   part  englands world cup squadmor",0,"Netral"
"4","purchase quality  best priced furniture fromfor orders callwhatsappdelivery done countrywid",1,"Positif"
"5","southgate",0,"Netral"
"6","just realised  ben doesnt start  southgate  basically just dragged   watch  least favourite thing live",-1,"Negatif"
"7","gareth southgate explains inclusion  united captain harry maguire  england squad",0,"Netral"
"8","la khales kol elsquads average faskh tbh w southgate gaban elsaraha bas mahabesh yakhod elrisk w dee nafs",0,"Netral"
"9","probably   unrealistic southgate xi ive seen   word  team  play unbelievable football",-2,"Negatif"
"10","connor gallagher getting picked   last seasons merits meanwhile  leave  weapon like wardprowse  home lol ",1,"Positif"
"11","southgate   england regime   biased  dont select players  form  just rollout ",-1,"Negatif"
"12"," honestly   know  ill let  one go southgate  chosen  better squad  expected",1,"Positif"
"13","pleasing  see",1,"Positif"
"14","southgate saidtammy dropped cos  lost formbut  manmaguire picked cos  lost form amp tomori dropped cos  g",-2,"Negatif"
"15","pochatino  howe forsouthgate",0,"Netral"
"16","   think  gareth southgates squadfans",0,"Netral"
"17","thats  good shout mate southgate  inept   coach",0,"Netral"
"18","southgate  howe",0,"Netral"
"19","southgate admits england world cup squad  still change despite announcement",0,"Netral"
"20","southgate already fucking    tourney even starts classic southgate",0,"Netral"
"21","gareth southgate  considering recalling marcus rashford  englands world cup squad",0,"Netral"
"22"," kalvin phillips   england squadsouthgate   joke",-1,"Negatif"
"23","glad hes  going  southgate fucked    one",1,"Positif"
"24","southgate saying abraham  missed  purely   lost form   wrong time  pretty laughable really consid",-3,"Negatif"
"25","stupid  southgate   taketo  world cup  theres ever  clueless manager  charge  ",-2,"Negatif"
"26"," get    still think   risk  take someone whos even playedminutes",-1,"Negatif"
"27","youve missed  point completely southgate  said hell pick players   back   c",-2,"Negatif"
"28","maguire  dirt  southgate ole  ragnick",-1,"Negatif"
"29","kyle walker will  available  england   end   world cup group stage says gareth southgate",1,"Positif"
"30","southgates selection  biased amp based  favoritism  wont reach r",-1,"Negatif"
"31","southgates full ",0,"Netral"
"32"," dad moans  southgates line    watches match   daytimes  year",0,"Netral"
"33","southgate gimme  keys",0,"Netral"
"34","southgate reflecting   squad versus  euros squad weve looked  one  two others    period  emile sm",0,"Netral"
"35","southgate  terrorist man",0,"Netral"
"36","listen pulling apart  main issues  gareth southgates england world cup squad selection onfootba",-1,"Negatif"
"37","add tomoriget rid  gallagher",0,"Netral"
"38"," doesnt perform badly  england guess  southgate stuck   even   picks fikayo et al  can",-2,"Negatif"
"39"," sooner southgate goes  better",1,"Positif"
"40","oiiii   bleeding  peak  cant lie southgate bruv maguire boy",-2,"Negatif"
"41","listen pulling apart  main issues  gareth southgates england world cup squad selection onf",-1,"Negatif"
"42","southgate talking  usingsubs   joke back   euros  played   draw   penalties  try",-1,"Negatif"
"43"," southgate sees ",0,"Netral"
"44","southgate  going   englands downfall",-1,"Negatif"
"45","  leaves maddison  southgate   sacked   tournament   understand  good maddison  bee",1,"Positif"
"46","cant bear  watch sterling   onefooted approach   game  make   predictable  de",0,"Netral"
"47","delighted thathas made  plane  s decision thus far  exclude    many squads",1,"Positif"
"48","breaking leicester city star james maddison  braced  bad news  ivan toney  tammy abraham face nervous w",-3,"Negatif"
"49","gareth southgate  harry maguire amp fikayo tomori  dont think  young ones centrebacks  done quite enough",1,"Positif"
"50","gareth southgates avengers   world cup   chosen",0,"Netral"
"51","right backscamscbs    similar southgate  got  balance   squad completely wrong tone",0,"Netral"
"52","hp elitebooknotebook pcinches displayintel core istorage gb ram gb ssdspeed ghz upto ghzwind",0,"Netral"
"53","gareth southgate southgate made   errors   isnt one    dont  enough depth   posit",0,"Netral"
"54"," one thing including    squad  something altogether different   picks   play knowi",0,"Netral"
"55","gareth southgate talking  conor gallagher",0,"Netral"
"56"," definitely  southgate s sex tape   promised  select based  good form",2,"Positif"
"57"," can confidently say   ferdinand terry campbell king amp carragher  playing southgate will still pick",0,"Netral"
"58","one   key findings   girls speak report   racial stereotyping  discrimination affects black asian",-1,"Negatif"
"59","ive  critical  southgates england   wasnt looking forward   squad  t",-1,"Negatif"
"60","gareth southgate picks world cup squad fsg put liverpool   sale amp premier league predicitons",1,"Positif"
"61","southgate  play  right full",1,"Positif"
"62","based  southgates choices im pretty sure  will   team  goes ",1,"Positif"
"63","southgate always said hed play  player    form  doesnt",0,"Netral"
